"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3"
"PLOD2","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"PPFIA3","0.122","0.368","0.127","1","hsa-miR-503-5p","",""
"PPIL6","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"PPP1R3D","0.122","0.368","0.127","1","hsa-miR-215-5p","",""
"PRCP","0.105","0.368","0.109","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PROX2","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"PRR11","0.122","0.368","0.127","1","hsa-miR-503-5p","",""
"PSD4","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"PSMA4","0.122","0.368","0.127","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RAB37","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"RABGAP1","0.105","0.368","0.109","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RAD54B","0.122","0.368","0.127","1","hsa-miR-215-5p","",""
"RBBP4","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"RCSD1","0.105","0.368","0.109","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RGP1","0.0963","0.368","0.282","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"RNF8","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"RP11-343C2.12","0.105","0.368","0.109","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"S1PR1","0.120","0.368","0.318","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"SAMD10","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"SCARB1","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"SCARF1","0.105","0.368","0.109","1","hsa-miR-215-5p","",""
"SEMA4B","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"SEMA6C","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"SEPN1","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"SERPINH1","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"SETD6","0.122","0.368","0.127","1","hsa-miR-503-5p","",""
"SH3GL2","0.105","0.368","0.109","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SIAH2","0.122","0.368","0.127","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SLC10A3","0.122","0.368","0.127","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SLC25A11","0.105","0.368","0.109","1","hsa-miR-215-5p","",""
"SLC25A29","0.105","0.368","0.109","1","hsa-miR-503-5p","",""
"SLC4A1","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"SOCS6","0.102","0.368","0.291","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"SP6","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"SRPR","0.122","0.368","0.127","1","hsa-miR-503-5p","",""
"SRSF12","0.122","0.368","0.127","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SSH3","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"SUV420H2","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"SYT13","0.105","0.368","0.109","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SYT3","0.105","0.368","0.109","1","hsa-miR-503-5p","",""
"TCTEX1D1","0.105","0.368","0.109","1","hsa-miR-215-5p","",""
"THUMPD1","0.105","0.368","0.109","1","hsa-miR-503-5p","",""
"TIAF1","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"TMEM180","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"TMEM55B","0.122","0.368","0.127","1","hsa-miR-503-5p","",""
"TNFRSF19","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"TNFSF13B","0.105","0.368","0.109","1","hsa-miR-503-5p","",""
"TOMM40","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"TSPAN33","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"TYRP1","0.122","0.368","0.127","1","hsa-miR-215-5p","",""
"WDR12","0.105","0.368","0.109","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"WISP1","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"WNT3A","0.105","0.368","0.109","1","hsa-miR-503-5p","",""
"WSCD1","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"YBX2","0.105","0.368","0.109","1","hsa-miR-24-3p","",""
"YOD1","0.114","0.368","0.309","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"ZC3H6","0.108","0.368","0.300","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"ZC3HAV1","0.122","0.368","0.127","1","hsa-miR-215-5p","",""
"ZMYM3","0.122","0.368","0.127","1","hsa-miR-24-3p","",""
"ZNRF2","0.114","0.368","0.309","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"ACAN","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"ANLN","0.139","0.380","0.145","1","hsa-miR-503-5p","",""
"APLN","0.155","0.380","0.164","1","hsa-miR-503-5p","",""
"AQP11","0.139","0.380","0.145","1","hsa-miR-503-5p","",""
"ARHGAP36","0.139","0.380","0.145","1","hsa-miR-215-5p","",""
"ATP1B2","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"ATP6V0A2","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"B4GALT2","0.139","0.380","0.145","1","hsa-miR-215-5p","",""
"BMPR1A","0.145","0.380","0.355","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"BRD1","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"BTLA","0.155","0.380","0.164","1","hsa-miR-503-5p","",""
"C20orf112","0.145","0.380","0.355","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"C2orf72","0.155","0.380","0.164","1","hsa-miR-503-5p","",""
"C4orf46","0.139","0.380","0.145","1","hsa-miR-215-5p","",""
"CACHD1","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"CDKN1C","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"CHEK1","0.139","0.380","0.145","1","hsa-miR-503-5p","",""
"CLCN5","0.139","0.380","0.345","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"CLMP","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"CLSPN","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"DDN","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"DKFZP761J1410","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"DLL1","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"DNAJB12","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"DNAJC14","0.139","0.380","0.145","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"DUSP8","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"EDAR","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"ELF3","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"ELP5","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"EREG","0.139","0.380","0.145","1","hsa-miR-215-5p","",""
"FAM20B","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"FSCN1","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"G2E3","0.155","0.380","0.164","1","hsa-miR-503-5p","",""
"GMPPB","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"GNE","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"GPR174","0.139","0.380","0.145","1","hsa-miR-503-5p","",""
"GUCD1","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"HECTD4","0.155","0.380","0.164","1","hsa-miR-503-5p","",""
"HIC2","0.152","0.380","0.364","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"HNF1B","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"HNRNPD","0.139","0.380","0.145","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"HOXC12","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"HTRA3","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"INTS8","0.155","0.380","0.164","1","hsa-miR-215-5p","",""
"IQGAP1","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"KCNK10","0.132","0.380","0.336","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-503-5p",""
"KCTD21","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"KCTD3","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"KLHL15","0.145","0.380","0.355","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"LDB3","0.155","0.380","0.164","1","hsa-miR-215-5p","",""
"LIMK2","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"LPAR3","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"LRCH4","0.155","0.380","0.164","1","hsa-miR-503-5p","",""
"LUC7L","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"MYO6","0.155","0.380","0.164","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"NEFM","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"NF2","0.155","0.380","0.164","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"NID1","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"NUMB","0.155","0.380","0.164","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"NYNRIN","0.139","0.380","0.145","1","hsa-miR-503-5p","",""
"OTUD5","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"PACS1","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"PBX2","0.155","0.380","0.164","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PCDH17","0.152","0.380","0.364","2","hsa-miR-215-5p","hsa-miR-24-3p",""
"PHF7","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"PIGG","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"PIK3IP1","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"PLXNB2","0.155","0.380","0.164","1","hsa-miR-215-5p","",""
"POLR3D","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"PRELID2","0.139","0.380","0.145","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PTGFR","0.139","0.380","0.145","1","hsa-miR-503-5p","",""
"PTPRA","0.139","0.380","0.145","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RAB3D","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"RALA","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"RALY","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"RASGEF1B","0.139","0.380","0.145","1","hsa-miR-503-5p","",""
"RB1","0.139","0.380","0.145","1","hsa-miR-215-5p","",""
"RRP8","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"SCAMP5","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"SH3RF3","0.139","0.380","0.145","1","hsa-miR-215-5p","",""
"SHROOM2","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"SLC35E1","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"SLC39A1","0.155","0.380","0.164","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SLC6A11","0.155","0.380","0.164","1","hsa-miR-503-5p","",""
"SLC7A6OS","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"SMG6","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"SNTB1","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"SNX13","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"SOAT1","0.155","0.380","0.164","1","hsa-miR-215-5p","",""
"SOST","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"SOX7","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"SRPX2","0.139","0.380","0.145","1","hsa-miR-215-5p","",""
"SRRM3","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"STRADB","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"STX5","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"SZT2","0.139","0.380","0.145","1","hsa-miR-24-3p","",""
"TCF7","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"TLCD2","0.155","0.380","0.164","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TM9SF2","0.139","0.380","0.145","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TMC7","0.155","0.380","0.164","1","hsa-miR-503-5p","",""
"TMEM161B","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"TRAF6","0.155","0.380","0.164","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"USP3","0.139","0.380","0.145","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"VPS37C","0.155","0.380","0.164","1","hsa-miR-503-5p","",""
"WDR44","0.155","0.380","0.164","1","hsa-miR-215-5p","",""
"WHSC1","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"WNK2","0.155","0.380","0.164","1","hsa-miR-24-3p","",""
"WNT2B","0.139","0.380","0.345","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"WNT7A","0.139","0.380","0.145","1","hsa-miR-503-5p","",""
"WSCD2","0.139","0.380","0.145","1","hsa-miR-215-5p","",""
"ZDHHC13","0.139","0.380","0.145","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"AFAP1L2","0.171","0.383","0.182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ALX1","0.171","0.383","0.182","1","hsa-miR-215-5p","",""
"AP3D1","0.171","0.383","0.182","1","hsa-miR-503-5p","",""
"ARHGAP44","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"ATG2A","0.171","0.383","0.182","1","hsa-miR-215-5p","",""
"BAG1","0.171","0.383","0.182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CDKN2AIP","0.171","0.383","0.182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CDS1","0.171","0.383","0.182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CTCF","0.171","0.383","0.182","1","hsa-miR-215-5p","",""
"DMRTA2","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"EML4","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"FAM122A","0.171","0.383","0.182","1","hsa-miR-503-5p","",""
"FAM169A","0.171","0.383","0.182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"FASLG","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"FLOT2","0.171","0.383","0.182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"IGDCC3","0.171","0.383","0.182","1","hsa-miR-215-5p","",""
"IST1","0.171","0.383","0.182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"KCNK2","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"LIG3","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"LIMD1","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"LRP2","0.171","0.383","0.182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"LYVE1","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"MARK4","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"MNT","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"MYT1","0.171","0.383","0.182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"NCKAP1L","0.171","0.383","0.182","1","hsa-miR-503-5p","",""
"NET1","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"PCDHB16","0.171","0.383","0.182","1","hsa-miR-503-5p","",""
"PEX19","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"PIM1","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"PLEKHH2","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"PLEKHO2","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"PPP1R3B","0.171","0.383","0.182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PPP3CB","0.171","0.383","0.182","1","hsa-miR-503-5p","",""
"PRDM4","0.171","0.383","0.182","1","hsa-miR-503-5p","",""
"PXK","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"RAB5C","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"RAB8A","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"RAF1","0.171","0.383","0.182","1","hsa-miR-503-5p","",""
"RFTN2","0.171","0.383","0.182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"RFX6","0.171","0.383","0.182","1","hsa-miR-215-5p","",""
"RGS9BP","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"RIT1","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"SESN1","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"SNX33","0.171","0.383","0.182","1","hsa-miR-215-5p","",""
"SRL","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"ST3GAL1","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"SVIP","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"SYDE2","0.171","0.383","0.182","1","hsa-miR-503-5p","",""
"SYS1","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"TAF9B","0.171","0.383","0.182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TOR1AIP1","0.171","0.383","0.182","1","hsa-miR-215-5p","",""
"VSTM4","0.171","0.383","0.182","1","hsa-miR-24-3p","",""
"XKR4","0.166","0.383","0.382","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-24-3p",""
"ZBTB26","0.171","0.383","0.182","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ZNF74","0.171","0.383","0.182","1","hsa-miR-503-5p","",""
