"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3"
"XIAP","0.172","0.386","0.391","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p",""
"ACHE","0.187","0.392","0.200","1","hsa-miR-503-5p","",""
"ACSBG1","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"ALG6","0.187","0.392","0.200","1","hsa-miR-215-5p","",""
"ANKRD13B","0.187","0.392","0.200","1","hsa-miR-503-5p","",""
"AREL1","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"CCAR2","0.187","0.392","0.200","1","hsa-miR-503-5p","",""
"CHD5","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"CHMP7","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"CMPK1","0.187","0.392","0.200","1","hsa-miR-503-5p","",""
"DEDD","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"DIEXF","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"DYRK1B","0.187","0.392","0.200","1","hsa-miR-503-5p","",""
"ELP4","0.187","0.392","0.200","1","hsa-miR-215-5p","",""
"EPB41L4B","0.187","0.392","0.200","1","hsa-miR-503-5p","",""
"FANCA","0.187","0.392","0.200","1","hsa-miR-503-5p","",""
"FGFR1OP","0.187","0.392","0.200","1","hsa-miR-215-5p","",""
"FHDC1","0.187","0.392","0.200","1","hsa-miR-503-5p","",""
"FREM2","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"GGA1","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"HAP1","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"IER5","0.187","0.392","0.200","1","hsa-miR-215-5p","",""
"KIF1C","0.187","0.392","0.200","1","hsa-miR-503-5p","",""
"LBR","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"MDN1","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"NDRG4","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"NEK10","0.187","0.392","0.200","1","hsa-miR-503-5p","",""
"NKAIN2","0.187","0.392","0.200","1","hsa-miR-215-5p","",""
"OCIAD2","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"PCBP2","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"PGK1","0.187","0.392","0.200","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"PIAS2","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"PLCL2","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"RARG","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"SEMA7A","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"SLC41A1","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"SYT6","0.187","0.392","0.200","1","hsa-miR-215-5p","",""
"TMEM178B","0.186","0.392","0.409","2","hsa-miR-24-3p","hsa-miR-503-5p",""
"TSHZ1","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"UBE2QL1","0.187","0.392","0.200","1","hsa-miR-215-5p","",""
"USP44","0.187","0.392","0.200","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"WNT8B","0.187","0.392","0.200","1","hsa-miR-24-3p","",""
"ZNF629","0.187","0.392","0.200","1","hsa-miR-503-5p","",""
"APTX","0.202","0.397","0.218","1","hsa-miR-215-5p","",""
"ARHGAP31","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"B3GALNT2","0.202","0.397","0.218","1","hsa-miR-215-5p","",""
"B3GNT1","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"BCKDK","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"BNIP3L","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"BVES","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"CBX2","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"CCDC180","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"CCND3","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"CDX2","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"CRNKL1","0.202","0.397","0.218","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CRY2","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"ENY2","0.202","0.397","0.218","1","hsa-miR-215-5p","",""
"EPOR","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"ERI2","0.202","0.397","0.218","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ERLIN2","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"ESYT2","0.202","0.397","0.218","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"FCHSD2","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"FST","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"GABRA4","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"GALNTL6","0.202","0.397","0.218","1","hsa-miR-215-5p","",""
"GPR155","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"KCNK1","0.202","0.397","0.218","1","hsa-miR-215-5p","",""
"KIAA0226L","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"LMBR1L","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"LMNB2","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"MAPKBP1","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"MAPT","0.202","0.397","0.218","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"MARCH9","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"MMP14","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"NFATC2IP","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"NIPAL1","0.202","0.397","0.218","1","hsa-miR-215-5p","",""
"OCRL","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"PEX13","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"PI4K2B","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"PKDCC","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"PLEKHO1","0.202","0.397","0.218","1","hsa-miR-215-5p","",""
"RAB9B","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"RASD2","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"RNF144B","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"RNF2","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"SLC20A2","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"SLC35G1","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"STEAP3","0.202","0.397","0.218","1","hsa-miR-503-5p","",""
"TCEB3","0.202","0.397","0.218","1","hsa-miR-215-5p","",""
"TDG","0.202","0.397","0.218","1","hsa-miR-215-5p","",""
"TMEM50B","0.202","0.397","0.218","1","hsa-miR-24-3p","",""
"TTL","0.202","0.397","0.218","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ADD2","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"ANGEL1","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"APBA1","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"AQR","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"BTRC","0.218","0.400","0.236","1","hsa-miR-503-5p","",""
"C17orf75","0.218","0.400","0.236","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CAMSAP1","0.218","0.400","0.236","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"CELF3","0.218","0.400","0.236","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"DYRK3","0.218","0.400","0.236","1","hsa-miR-215-5p","",""
"EDA","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"EPHA8","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"EXTL3","0.218","0.400","0.236","1","hsa-miR-503-5p","",""
"GMPS","0.218","0.400","0.236","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"GRIP1","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"GRK5","0.218","0.400","0.236","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"HAS3","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"HSPBAP1","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"KDSR","0.218","0.400","0.236","1","hsa-miR-503-5p","",""
"KIF5C","0.218","0.400","0.236","1","hsa-miR-503-5p","",""
"KLC2","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"KLF8","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"MCC","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"MFAP3","0.218","0.400","0.236","1","hsa-miR-215-5p","",""
"MSN","0.218","0.400","0.236","1","hsa-miR-215-5p","",""
"MTMR4","0.218","0.400","0.236","1","hsa-miR-215-5p","",""
"MYO1E","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"NEK6","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"NEUROD2","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"NPAS4","0.218","0.400","0.236","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"NUDT21","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"NUTF2","0.218","0.400","0.236","1","hsa-miR-503-5p","",""
"PIGV","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"PNRC2","0.218","0.400","0.236","1","hsa-miR-503-5p","",""
"RAB15","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"RECK","0.218","0.400","0.236","1","hsa-miR-503-5p","",""
"RNF4","0.218","0.400","0.236","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SBF2","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"SLC19A2","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"SMAD4","0.218","0.400","0.236","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SNX22","0.218","0.400","0.236","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SPTBN2","0.218","0.400","0.236","1","hsa-miR-503-5p","",""
"SRSF6","0.218","0.400","0.236","1","hsa-miR-215-5p","",""
"SSR1","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"STXBP6","0.218","0.400","0.236","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TCF21","0.218","0.400","0.236","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TCTE1","0.218","0.400","0.236","1","hsa-miR-503-5p","",""
"TECPR2","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"TMEM115","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"ZDHHC14","0.218","0.400","0.236","1","hsa-miR-24-3p","",""
"ZNF449","0.218","0.400","0.236","1","hsa-miR-503-5p","",""
"ACSL6","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"AKAP5","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"AL590483.1","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"ARHGEF39","0.233","0.402","0.255","1","hsa-miR-215-5p","",""
"BLCAP","0.233","0.402","0.255","1","hsa-miR-215-5p","",""
"CDH7","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"CDV3","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"COL5A1","0.233","0.402","0.255","1","hsa-miR-215-5p","",""
"CTH","0.233","0.402","0.255","1","hsa-miR-215-5p","",""
"CTNNBIP1","0.233","0.402","0.255","1","hsa-miR-215-5p","",""
"DGKG","0.233","0.402","0.255","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"DLGAP4","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"DNAH10OS","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"EED","0.233","0.402","0.255","1","hsa-miR-503-5p","",""
"EML6","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"ENC1","0.233","0.402","0.255","1","hsa-miR-215-5p","",""
"ERBB3","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"ESRP1","0.233","0.402","0.255","1","hsa-miR-503-5p","",""
"FAM167A","0.233","0.402","0.255","1","hsa-miR-215-5p","",""
"FAM65B","0.233","0.402","0.255","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"FBXW2","0.233","0.402","0.255","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"FSTL1","0.233","0.402","0.255","1","hsa-miR-503-5p","",""
"GBA","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"GGA2","0.233","0.402","0.255","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"KCNK3","0.233","0.402","0.255","1","hsa-miR-215-5p","",""
"KIAA1614","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"KIAA1644","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"LRRC8B","0.233","0.402","0.255","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"MAGI1","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"MIPOL1","0.233","0.402","0.255","1","hsa-miR-215-5p","",""
"MMS19","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"MOB3B","0.233","0.402","0.255","1","hsa-miR-503-5p","",""
"OSBP","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"PAPLN","0.233","0.402","0.255","1","hsa-miR-215-5p","",""
"PHC1","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"PPL","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"PRDM1","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"RAB35","0.233","0.402","0.255","1","hsa-miR-503-5p","",""
"REL","0.233","0.402","0.255","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SCN1A","0.230","0.402","0.464","2","hsa-miR-146a-5p/hsa-miR-146b-5p","hsa-miR-215-5p",""
"SEC23IP","0.233","0.402","0.255","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"SKIDA1","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"SLC25A37","0.233","0.402","0.255","1","hsa-miR-503-5p","",""
"SNX1","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"TBC1D20","0.233","0.402","0.255","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"TYRO3","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"VASH1","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"WBP11","0.233","0.402","0.255","1","hsa-miR-503-5p","",""
"ZBTB44","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"ZNF512B","0.233","0.402","0.255","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ZNF740","0.233","0.402","0.255","1","hsa-miR-24-3p","",""
"ACER3","0.248","0.407","0.273","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"AMOTL2","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"ANAPC16","0.248","0.407","0.273","1","hsa-miR-215-5p","",""
"ANKS1A","0.248","0.407","0.273","1","hsa-miR-503-5p","",""
"CDC25A","0.248","0.407","0.273","1","hsa-miR-503-5p","",""
"CDH4","0.248","0.407","0.273","1","hsa-miR-503-5p","",""
"CSRNP1","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"DNAJC16","0.248","0.407","0.273","1","hsa-miR-503-5p","",""
"DPP10","0.248","0.407","0.273","1","hsa-miR-215-5p","",""
"FBXL19","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"GINM1","0.248","0.407","0.273","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"GIT1","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"GPR22","0.248","0.407","0.273","1","hsa-miR-215-5p","",""
"KCTD15","0.248","0.407","0.273","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"KHNYN","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"KIAA0226","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"KIF5A","0.248","0.407","0.273","1","hsa-miR-503-5p","",""
"LIMD2","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"LIMS1","0.248","0.407","0.273","1","hsa-miR-215-5p","",""
"MAP2K1","0.248","0.407","0.273","1","hsa-miR-503-5p","",""
"MAPK14","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"MCTS1","0.248","0.407","0.273","1","hsa-miR-215-5p","",""
"MIA3","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"MIEF1","0.248","0.407","0.273","1","hsa-miR-503-5p","",""
"MYO18A","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"PDAP1","0.248","0.407","0.273","1","hsa-miR-503-5p","",""
"PHB2","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"POMGNT1","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"RER1","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"RSPO3","0.248","0.407","0.273","1","hsa-miR-503-5p","",""
"SBK1","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"SCML2","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"SEMA5A","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"SFXN5","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"SLC7A6","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"SPIN1","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"STC2","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"STX17","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"TMTC3","0.248","0.407","0.273","1","hsa-miR-215-5p","",""
"USP1","0.248","0.407","0.273","1","hsa-miR-215-5p","",""
"WIZ","0.248","0.407","0.273","1","hsa-miR-24-3p","",""
"ZNF366","0.248","0.407","0.273","1","hsa-miR-215-5p","",""
"ZNF367","0.248","0.407","0.273","1","hsa-miR-146a-5p/hsa-miR-146b-5p","",""
"ACACB","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"ADAM12","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"ALCAM","0.262","0.414","0.291","1","hsa-miR-215-5p","",""
"B3GALT1","0.262","0.414","0.291","1","hsa-miR-503-5p","",""
"BBC3","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"BMF","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"CAST","0.262","0.414","0.291","1","hsa-miR-503-5p","",""
"CC2D1B","0.262","0.414","0.291","1","hsa-miR-503-5p","",""
"CCNYL1","0.262","0.414","0.291","1","hsa-miR-503-5p","",""
"CECR6","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"DAGLA","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"DENND2C","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"EMC7","0.262","0.414","0.291","1","hsa-miR-215-5p","",""
"FAM78A","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
"FNDC5","0.262","0.414","0.291","1","hsa-miR-24-3p","",""
