"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"TFDP1","0.212","0.299","0.235","1","hsa-miR-5010-3p","","",""
"UBE2D1","0.212","0.299","0.235","1","hsa-miR-215-5p","","",""
"UFM1","0.212","0.299","0.235","1","hsa-miR-3074-5p","","",""
"ZBED1","0.212","0.299","0.235","1","hsa-miR-24-3p","","",""
"ZFYVE9","0.212","0.299","0.235","1","hsa-miR-24-3p","","",""
"CDK1","0.216","0.301","0.240","1","hsa-miR-24-3p","","",""
"CMPK1","0.216","0.301","0.240","1","hsa-miR-215-5p","","",""
"DLGAP3","0.216","0.301","0.240","1","hsa-miR-503-5p","","",""
"EIF1","0.216","0.301","0.240","1","hsa-miR-1180-3p","","",""
"EIF4EBP1","0.216","0.301","0.240","1","hsa-miR-4677-3p","","",""
"EIF5","0.216","0.301","0.240","1","hsa-miR-24-3p","","",""
"GALNT6","0.216","0.301","0.240","1","hsa-miR-3074-5p","","",""
"GP2","0.216","0.301","0.240","1","hsa-miR-3074-5p","","",""
"GRIN2A","0.216","0.301","0.240","1","hsa-miR-5010-3p","","",""
"H2AFX","0.216","0.301","0.240","1","hsa-miR-24-3p","","",""
"HCFC2","0.216","0.301","0.240","1","hsa-miR-503-5p","","",""
"HECTD3","0.216","0.301","0.240","1","hsa-miR-24-3p","","",""
"HIST1H3B","0.216","0.301","0.240","1","hsa-miR-3909","","",""
"JPH2","0.216","0.301","0.240","1","hsa-miR-24-3p","","",""
"KLHDC3","0.216","0.301","0.240","1","hsa-miR-24-3p","","",""
"KLHL7","0.216","0.301","0.240","1","hsa-miR-4677-3p","","",""
"PLAGL2","0.215","0.301","0.436","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"SH2B3","0.216","0.301","0.240","1","hsa-miR-215-5p","","",""
"SLC25A12","0.216","0.301","0.240","1","hsa-miR-503-5p","","",""
"USP53","0.216","0.301","0.240","1","hsa-miR-503-5p","","",""
"CMTM6","0.219","0.303","0.245","1","hsa-miR-215-5p","","",""
"ELOC","0.219","0.303","0.245","1","hsa-miR-3909","","",""
"FBLIM1","0.219","0.303","0.245","1","hsa-miR-24-3p","","",""
"HIST1H2BK","0.219","0.303","0.245","1","hsa-miR-1180-3p","","",""
"ITGB1","0.219","0.303","0.245","1","hsa-miR-215-5p","","",""
"KIAA0754","0.219","0.303","0.245","1","hsa-miR-24-3p","","",""
"LIN52","0.219","0.303","0.245","1","hsa-miR-146a-5p","","",""
"MTPN","0.219","0.303","0.245","1","hsa-miR-503-5p","","",""
"NCEH1","0.219","0.303","0.245","1","hsa-miR-215-5p","","",""
"NUP43","0.219","0.303","0.245","1","hsa-miR-24-3p","","",""
"ORC1","0.219","0.303","0.245","1","hsa-miR-215-5p","","",""
"RAPH1","0.219","0.303","0.245","1","hsa-miR-503-5p","","",""
"RPS16","0.219","0.303","0.245","1","hsa-miR-24-3p","","",""
"THRB","0.219","0.303","0.245","1","hsa-miR-4677-3p","","",""
"TMEM184A","0.219","0.303","0.245","1","hsa-miR-3173-5p","","",""
"TMEM192","0.219","0.303","0.245","1","hsa-miR-24-3p","","",""
"ZNF267","0.219","0.303","0.245","1","hsa-miR-215-5p","","",""
"ZNF28","0.219","0.303","0.245","1","hsa-miR-425-3p","","",""
"ALDH6A1","0.223","0.305","0.249","1","hsa-miR-24-3p","","",""
"APAF1","0.223","0.305","0.249","1","hsa-miR-24-3p","","",""
"B4GALT5","0.223","0.305","0.249","1","hsa-miR-503-5p","","",""
"CDC27","0.223","0.305","0.249","1","hsa-miR-3074-5p","","",""
"ELL2","0.223","0.305","0.249","1","hsa-miR-215-5p","","",""
