miRNA,MI_Score
hsa-miR-628-3p,0.151092941940981
hsa-miR-629-5p,0.17658944414417377
hsa-miR-636,0.1380400664882977
hsa-miR-641,0.19868719935297108
hsa-miR-6511a-3p,0.13206031235424298
hsa-miR-6511b-3p,0.16546289189486796
hsa-miR-6513-3p,0.1706621040373597
hsa-miR-652-3p,0.17170545681654792
hsa-miR-654-3p,0.16814653425395898
hsa-miR-659-5p,0.18636233442033756
hsa-miR-660-5p,0.17762798827554516
hsa-miR-664a-3p,0.16142405009270266
hsa-miR-671-3p,0.14714840463204482
hsa-miR-6737-3p,0.1781081497595034
hsa-miR-6741-3p,0.17190713509262645
hsa-miR-6747-3p,0.1897243530651358
hsa-miR-6750-3p,0.16220577723865448
hsa-miR-6775-3p,0.18378565091971621
hsa-miR-6777-3p,0.13592519648127155
hsa-miR-6803-3p,0.18093525292836077
hsa-miR-6812-3p,0.14013366404396654
hsa-miR-6819-3p,0.1842744008765762
hsa-miR-6842-3p,0.16824798907746308
hsa-miR-6857-3p,0.1351414277176155
hsa-miR-6868-3p,0.14495973181397614
hsa-miR-6881-3p,0.15916458088849206
hsa-miR-6894-3p,0.15831692465271985
hsa-miR-7-1-3p,0.16802428963761784
hsa-miR-744-5p,0.1605495056268209
hsa-miR-766-3p,0.18012856319771187
hsa-miR-769-5p,0.2046698243830707
hsa-miR-7704,0.16013427188691853
hsa-miR-7706,0.14622594382148701
hsa-miR-7976,0.16375318475099876
hsa-miR-92a-3p,0.17060393776625515
hsa-miR-92b-3p,0.14550583558922625
hsa-miR-93-3p,0.17545402802917742
hsa-miR-93-5p,0.14116661194092428
hsa-miR-937-3p,0.14578380547253422
hsa-miR-941,0.15058480109485917
hsa-miR-942-5p,0.18443056719429007
hsa-miR-96-5p,0.1878121262604182
hsa-miR-98-5p,0.1547067935312647
hsa-miR-99a-5p,0.18800854254519184
hsa-miR-99b-5p,0.16147451940493873
