"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4"
"ATXN7L3","0.171","0.597","0.382","2","hsa-miR-24-3p","hsa-miR-3184-5p","",""
"AXL","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"AZGP1","0.0929","0.597","0.0955","1","hsa-miR-3184-5p","","",""
"B3GALT5","0.151","0.597","0.159","1","hsa-miR-24-3p","","",""
"BAP1","0.205","0.597","0.223","1","hsa-miR-3184-5p","","",""
"BCL2L12","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"BEST4","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"BET1L","0.0628","0.597","0.0636","1","hsa-miR-24-3p","","",""
"BHLHE22","0.0347","0.597","0.159","2","hsa-miR-215-5p","hsa-miR-24-3p","",""
"BLOC1S3","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"BMP8A","0.178","0.597","0.191","1","hsa-miR-3184-5p","","",""
"BMP8B","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"BNC1","0.151","0.597","0.159","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"BRD2","0.0628","0.597","0.0636","1","hsa-miR-324-5p","","",""
"BSND","0.205","0.597","0.223","1","hsa-miR-24-3p","","",""
"BTBD19","0.122","0.597","0.127","1","hsa-miR-503-5p","","",""
"BTF3","0.178","0.597","0.191","1","hsa-miR-503-5p","","",""
"C10orf76","0.151","0.597","0.159","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
"C12orf43","0.122","0.597","0.127","1","hsa-miR-24-3p","","",""
"C15orf52","0.205","0.597","0.223","1","hsa-miR-3184-5p","","",""
"C16orf59","0.0318","0.597","0.0318","1","hsa-miR-24-3p","","",""
"C17orf100","0.0929","0.597","0.0955","1","hsa-miR-24-3p","","",""
"C17orf78","0.0929","0.597","0.0955","1","hsa-miR-146a-5p/hsa-miR-146b-5p","","",""
