"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"RABL6","0.0578","0.255","0.0593","1","hsa-miR-191-5p","","","",""
"RB1","0.0544","0.255","0.190","2","hsa-miR-215-5p","hsa-miR-3909","","",""
"RIC8B","0.0578","0.255","0.0593","1","hsa-miR-215-5p","","","",""
"RPIA","0.0578","0.255","0.0593","1","hsa-miR-191-5p","","","",""
"SGPP1","0.0578","0.255","0.0593","1","hsa-miR-215-5p","","","",""
"SLC6A20","0.0578","0.255","0.0593","1","hsa-miR-3074-5p","","","",""
"SLF1","0.0578","0.255","0.0593","1","hsa-miR-215-5p","","","",""
"SMO","0.0578","0.255","0.0593","1","hsa-miR-324-5p","","","",""
"SRRM1","0.0578","0.255","0.0593","1","hsa-miR-324-5p","","","",""
"ST3GAL6","0.0578","0.255","0.0593","1","hsa-miR-215-5p","","","",""
"TMCO5A","0.0578","0.255","0.0593","1","hsa-miR-6750-3p","","","",""
"TTK","0.0578","0.255","0.0593","1","hsa-miR-215-5p","","","",""
"TUBGCP3","0.0578","0.255","0.0593","1","hsa-miR-215-5p","","","",""
"TUFM","0.0578","0.255","0.0593","1","hsa-miR-324-5p","","","",""
"VWA2","0.0578","0.255","0.0593","1","hsa-miR-361-3p","","","",""
"ZNF730","0.0544","0.255","0.190","2","hsa-miR-24-3p","hsa-miR-451b","","",""
"BARHL1","0.0588","0.258","0.199","2","hsa-miR-3184-5p","hsa-miR-26b-3p","","",""
"NDUFA4P1","0.0588","0.258","0.199","2","hsa-miR-503-5p","hsa-miR-24-3p","","",""
"NLK","0.0588","0.258","0.199","2","hsa-miR-215-5p","hsa-miR-6741-3p","","",""
"SLC2A3","0.0588","0.258","0.199","2","hsa-miR-24-3p","hsa-miR-503-5p","","",""
"ZBTB46","0.0592","0.259","0.302","3","hsa-miR-3184-5p","hsa-miR-361-3p","hsa-miR-6750-3p","",""
"CCND2","0.0599","0.262","0.379","4","hsa-miR-191-5p","hsa-miR-503-5p","hsa-miR-3074-5p","hsa-miR-146a-5p",""
"ANKRD42","0.0610","0.263","0.203","2","hsa-miR-3184-5p","hsa-miR-451b","","",""
"ASGR2","0.0610","0.263","0.203","2","hsa-miR-451b","hsa-miR-4677-3p","","",""
"DEPDC1","0.0610","0.263","0.203","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"ELOVL5","0.0610","0.263","0.203","2","hsa-miR-215-5p","hsa-miR-324-5p","","",""
"FOXK1","0.0606","0.263","0.438","5","hsa-miR-503-5p","hsa-miR-6741-3p","hsa-miR-26b-3p","hsa-miR-3184-5p","hsa-miR-425-3p"
"KIAA0895L","0.0610","0.263","0.203","2","hsa-miR-503-5p","hsa-miR-2110","","",""
"MCM4","0.0610","0.263","0.203","2","hsa-miR-24-3p","hsa-miR-6741-3p","","",""
"NAV1","0.0605","0.263","0.305","3","hsa-miR-3184-5p","hsa-miR-26b-3p","hsa-miR-24-3p","",""
"RPS6KA3","0.0610","0.263","0.203","2","hsa-miR-503-5p","hsa-miR-191-5p","","",""
"TMEM214","0.0610","0.263","0.203","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"AKT3","0.0656","0.267","0.212","2","hsa-miR-146b-5p","hsa-miR-503-5p","","",""
"ALCAM","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"ANK3","0.0658","0.267","0.0677","1","hsa-miR-503-5p","","","",""
"AVL9","0.0633","0.267","0.310","3","hsa-miR-24-3p","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"BTN3A1","0.0658","0.267","0.0677","1","hsa-miR-324-5p","","","",""
"C11orf70","0.0658","0.267","0.0677","1","hsa-miR-6741-3p","","","",""
"C22orf24","0.0658","0.267","0.0677","1","hsa-miR-6741-3p","","","",""
"CCAR1","0.0658","0.267","0.0677","1","hsa-miR-24-3p","","","",""
"CCDC15","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"CDC123","0.0658","0.267","0.0677","1","hsa-miR-324-5p","","","",""
"CEP85L","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"CIAPIN1","0.0633","0.267","0.207","2","hsa-miR-361-3p","hsa-miR-2110","","",""
"DDX20","0.0658","0.267","0.0677","1","hsa-miR-324-5p","","","",""
"DLST","0.0658","0.267","0.0677","1","hsa-miR-503-5p","","","",""
"EDRF1","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"EEF1A2","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"FAM200B","0.0658","0.267","0.0677","1","hsa-miR-1180-3p","","","",""
"GEMIN5","0.0658","0.267","0.0677","1","hsa-miR-324-5p","","","",""
"GGT7","0.0658","0.267","0.0677","1","hsa-miR-6511a-3p","","","",""
"GORASP2","0.0658","0.267","0.0677","1","hsa-miR-24-3p","","","",""
"HKR1","0.0658","0.267","0.0677","1","hsa-miR-24-3p","","","",""
"ID1","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"IQCB1","0.0658","0.267","0.0677","1","hsa-miR-24-3p","","","",""
"ITGAV","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"KMT2A","0.0647","0.267","0.313","3","hsa-miR-215-5p","hsa-miR-3184-5p","hsa-miR-1180-3p","",""
"LAMC2","0.0658","0.267","0.0677","1","hsa-miR-146a-5p","","","",""
"NCOA5","0.0658","0.267","0.0677","1","hsa-miR-24-3p","","","",""
"NUP188","0.0658","0.267","0.0677","1","hsa-miR-324-5p","","","",""
"PDXP","0.0658","0.267","0.0677","1","hsa-miR-324-5p","","","",""
"POLR3H","0.0658","0.267","0.0677","1","hsa-miR-324-5p","","","",""
"PRKCE","0.0658","0.267","0.0677","1","hsa-miR-146a-5p","","","",""
"RAB44","0.0658","0.267","0.0677","1","hsa-miR-361-3p","","","",""
"RARS","0.0658","0.267","0.0677","1","hsa-miR-324-5p","","","",""
"RIN3","0.0658","0.267","0.0677","1","hsa-miR-3184-5p","","","",""
"RNFT2","0.0658","0.267","0.0677","1","hsa-miR-26b-3p","","","",""
"RPL27","0.0658","0.267","0.0677","1","hsa-miR-324-5p","","","",""
"SLC25A3","0.0658","0.267","0.0677","1","hsa-miR-324-5p","","","",""
"SLC35B2","0.0658","0.267","0.0677","1","hsa-miR-24-3p","","","",""
"SMARCB1","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"SNX13","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"TAB1","0.0656","0.267","0.212","2","hsa-miR-24-3p","hsa-miR-6511a-3p","","",""
"TAF9B","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"TMEFF1","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"TOR3A","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"TTYH2","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"UMPS","0.0633","0.267","0.207","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"VASH2","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"XKR7","0.0656","0.267","0.212","2","hsa-miR-3173-5p","hsa-miR-503-5p","","",""
"ZNHIT3","0.0658","0.267","0.0677","1","hsa-miR-215-5p","","","",""
"ATAD5","0.0679","0.273","0.216","2","hsa-miR-215-5p","hsa-miR-503-5p","","",""
"BCL2L12","0.0679","0.273","0.216","2","hsa-miR-24-3p","hsa-miR-503-5p","","",""
"GINM1","0.0675","0.273","0.319","3","hsa-miR-215-5p","hsa-miR-6741-3p","hsa-miR-24-3p","",""
"HSPA1B","0.0675","0.273","0.319","3","hsa-miR-146b-5p","hsa-miR-425-3p","hsa-miR-324-5p","",""
"MCM7","0.0679","0.273","0.216","2","hsa-miR-503-5p","hsa-miR-3184-5p","","",""
"ZBED1","0.0679","0.273","0.216","2","hsa-miR-24-3p","hsa-miR-324-5p","","",""
"ZCCHC14","0.0679","0.273","0.216","2","hsa-miR-24-3p","hsa-miR-1180-3p","","",""
"AARS","0.0738","0.279","0.0762","1","hsa-miR-324-5p","","","",""
"ADAMTS13","0.0738","0.279","0.0762","1","hsa-miR-6511a-3p","","","",""
"ADGRB2","0.0738","0.279","0.0762","1","hsa-miR-324-5p","","","",""
"ARHGAP39","0.0727","0.279","0.224","2","hsa-miR-24-3p","hsa-miR-425-3p","","",""
"ASF1B","0.0738","0.279","0.0762","1","hsa-miR-324-5p","","","",""
"B3GNT6","0.0738","0.279","0.0762","1","hsa-miR-3909","","","",""
"BCL7B","0.0727","0.279","0.224","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"C15orf39","0.0738","0.279","0.0762","1","hsa-miR-24-3p","","","",""
"C1QTNF3","0.0738","0.279","0.0762","1","hsa-miR-215-5p","","","",""
"CHEK1","0.0703","0.279","0.220","2","hsa-miR-503-5p","hsa-miR-24-3p","","",""
"CNDP2","0.0738","0.279","0.0762","1","hsa-miR-24-3p","","","",""
"CYP11B2","0.0738","0.279","0.0762","1","hsa-miR-24-3p","","","",""
"DLGAP3","0.0703","0.279","0.220","2","hsa-miR-503-5p","hsa-miR-6750-3p","","",""
"EIF1","0.0703","0.279","0.220","2","hsa-miR-1180-3p","hsa-miR-3184-5p","","",""
"FBLIM1","0.0727","0.279","0.224","2","hsa-miR-24-3p","hsa-miR-361-3p","","",""
"FNBP4","0.0738","0.279","0.0762","1","hsa-miR-3909","","","",""
"GP2","0.0703","0.279","0.220","2","hsa-miR-3074-5p","hsa-miR-6750-3p","","",""
"GYG2","0.0738","0.279","0.0762","1","hsa-miR-24-3p","","","",""
"KLHDC3","0.0703","0.279","0.220","2","hsa-miR-24-3p","hsa-miR-324-5p","","",""
"KLHL7","0.0703","0.279","0.220","2","hsa-miR-6741-3p","hsa-miR-4677-3p","","",""
"LIMS2","0.0738","0.279","0.0762","1","hsa-miR-3184-5p","","","",""
"LIN52","0.0727","0.279","0.224","2","hsa-miR-6741-3p","hsa-miR-146a-5p","","",""
"LRRC10","0.0738","0.279","0.0762","1","hsa-miR-24-3p","","","",""
"NACC1","0.0720","0.279","0.460","5","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-2110","hsa-miR-3184-5p","hsa-miR-361-3p"
"NCK1","0.0738","0.279","0.0762","1","hsa-miR-26b-3p","","","",""
"NCSTN","0.0738","0.279","0.0762","1","hsa-miR-24-3p","","","",""
"NEDD1","0.0738","0.279","0.0762","1","hsa-miR-215-5p","","","",""
"NEMP1","0.0738","0.279","0.0762","1","hsa-miR-24-3p","","","",""
"NXPE2","0.0738","0.279","0.0762","1","hsa-miR-24-3p","","","",""
"OARD1","0.0738","0.279","0.0762","1","hsa-miR-24-3p","","","",""
"ORC1","0.0727","0.279","0.224","2","hsa-miR-215-5p","hsa-miR-451b","","",""
"PABPC4","0.0738","0.279","0.0762","1","hsa-miR-215-5p","","","",""
"PARN","0.0738","0.279","0.0762","1","hsa-miR-215-5p","","","",""
"PTENP1","0.0738","0.279","0.0762","1","hsa-miR-24-3p","","","",""
"PTGFRN","0.0727","0.279","0.224","2","hsa-miR-24-3p","hsa-miR-3909","","",""
"RAD51D","0.0738","0.279","0.0762","1","hsa-miR-324-5p","","","",""
"RAPH1","0.0727","0.279","0.224","2","hsa-miR-324-5p","hsa-miR-503-5p","","",""
"RCC1L","0.0738","0.279","0.0762","1","hsa-miR-503-5p","","","",""
"RIMKLA","0.0738","0.279","0.0762","1","hsa-miR-215-5p","","","",""
"RUFY2","0.0727","0.279","0.224","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"RXFP4","0.0738","0.279","0.0762","1","hsa-miR-361-3p","","","",""
"SLC19A2","0.0738","0.279","0.0762","1","hsa-miR-215-5p","","","",""
"SMN1","0.0738","0.279","0.0762","1","hsa-miR-146a-5p","","","",""
"SPINT2","0.0738","0.279","0.0762","1","hsa-miR-4677-3p","","","",""
"TCHP","0.0738","0.279","0.0762","1","hsa-miR-215-5p","","","",""
"TMEM173","0.0738","0.279","0.0762","1","hsa-miR-24-3p","","","",""
"TMEM92","0.0738","0.279","0.0762","1","hsa-miR-24-3p","","","",""
"TNFSF13B","0.0738","0.279","0.0762","1","hsa-miR-215-5p","","","",""
"TRERF1","0.0738","0.279","0.0762","1","hsa-miR-324-5p","","","",""
"TUBA1A","0.0738","0.279","0.0762","1","hsa-miR-324-5p","","","",""
"TUBA1C","0.0738","0.279","0.0762","1","hsa-miR-324-5p","","","",""
"CA8","0.0751","0.282","0.229","2","hsa-miR-215-5p","hsa-miR-503-5p","","",""
"CEBPB","0.0751","0.282","0.229","2","hsa-miR-191-5p","hsa-miR-3184-5p","","",""
"METTL7A","0.0751","0.282","0.229","2","hsa-miR-146a-5p","hsa-miR-146b-5p","","",""
"OSMR","0.0751","0.282","0.229","2","hsa-miR-2110","hsa-miR-24-3p","","",""
"PHLDA3","0.0749","0.282","0.333","3","hsa-miR-6741-3p","hsa-miR-361-3p","hsa-miR-24-3p","",""
"PLEKHG5","0.0751","0.282","0.229","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"AACS","0.0816","0.285","0.0846","1","hsa-miR-191-5p","","","",""
"ACSL1","0.0816","0.285","0.0846","1","hsa-miR-191-5p","","","",""
"ARL1","0.0816","0.285","0.0846","1","hsa-miR-24-3p","","","",""
"ATN1","0.0816","0.285","0.0846","1","hsa-miR-361-3p","","","",""
"BARD1","0.0816","0.285","0.0846","1","hsa-miR-215-5p","","","",""
"BCL2L14","0.0816","0.285","0.0846","1","hsa-miR-4677-3p","","","",""
"C6orf62","0.0816","0.285","0.0846","1","hsa-miR-1180-3p","","","",""
"C8orf33","0.0800","0.285","0.237","2","hsa-miR-24-3p","hsa-miR-324-5p","","",""
"CCL2","0.0816","0.285","0.0846","1","hsa-miR-24-3p","","","",""
"CDH13","0.0816","0.285","0.0846","1","hsa-miR-3074-5p","","","",""
"CLPTM1","0.0816","0.285","0.0846","1","hsa-miR-324-5p","","","",""
"COPS3","0.0816","0.285","0.0846","1","hsa-miR-324-5p","","","",""
"DHFR2","0.0816","0.285","0.0846","1","hsa-miR-215-5p","","","",""
"ENC1","0.0816","0.285","0.0846","1","hsa-miR-215-5p","","","",""
"FAHD2A","0.0816","0.285","0.0846","1","hsa-miR-3909","","","",""
"FBXO18","0.0816","0.285","0.0846","1","hsa-miR-361-3p","","","",""
"FBXO25","0.0816","0.285","0.0846","1","hsa-miR-215-5p","","","",""
"FGFR3","0.0816","0.285","0.0846","1","hsa-miR-24-3p","","","",""
"HDAC1","0.0816","0.285","0.0846","1","hsa-miR-24-3p","","","",""
"HOXD10","0.0816","0.285","0.0846","1","hsa-miR-146a-5p","","","",""
"IFNG","0.0816","0.285","0.0846","1","hsa-miR-24-3p","","","",""
"IKBKB","0.0816","0.285","0.0846","1","hsa-miR-503-5p","","","",""
"IL15","0.0816","0.285","0.0846","1","hsa-miR-215-5p","","","",""
"LIFR","0.0776","0.285","0.233","2","hsa-miR-451b","hsa-miR-26b-3p","","",""
"LRRC38","0.0816","0.285","0.0846","1","hsa-miR-361-3p","","","",""
"MAFB","0.0816","0.285","0.0846","1","hsa-miR-24-3p","","","",""
"MAZ","0.0811","0.285","0.344","3","hsa-miR-1180-3p","hsa-miR-324-5p","hsa-miR-6511a-3p","",""
"MBOAT1","0.0816","0.285","0.0846","1","hsa-miR-24-3p","","","",""
"MFSD12","0.0816","0.285","0.0846","1","hsa-miR-361-3p","","","",""
"MFSD13A","0.0816","0.285","0.0846","1","hsa-miR-215-5p","","","",""
"MLN","0.0816","0.285","0.0846","1","hsa-miR-3184-5p","","","",""
"MPIG6B","0.0816","0.285","0.0846","1","hsa-miR-24-3p","","","",""
"NFKBIA","0.0816","0.285","0.0846","1","hsa-miR-24-3p","","","",""
"NOTCH2","0.0776","0.285","0.233","2","hsa-miR-146a-5p","hsa-miR-191-5p","","",""
"OTOG","0.0816","0.285","0.0846","1","hsa-miR-3074-5p","","","",""
"PAX8","0.0816","0.285","0.0846","1","hsa-miR-146b-5p","","","",""
"PCP4L1","0.0776","0.285","0.233","2","hsa-miR-3184-5p","hsa-miR-4677-3p","","",""
"PDGFRB","0.0816","0.285","0.0846","1","hsa-miR-24-3p","","","",""
"PRR15","0.0816","0.285","0.0846","1","hsa-miR-361-3p","","","",""
"PSMD2","0.0816","0.285","0.0846","1","hsa-miR-324-5p","","","",""
"RAD54L2","0.0776","0.285","0.233","2","hsa-miR-24-3p","hsa-miR-3074-5p","","",""
"RADIL","0.0816","0.285","0.0846","1","hsa-miR-215-5p","","","",""
"RET","0.0816","0.285","0.0846","1","hsa-miR-215-5p","","","",""
"RPL19","0.0816","0.285","0.0846","1","hsa-miR-1180-3p","","","",""
"RTKN2","0.0816","0.285","0.0846","1","hsa-miR-215-5p","","","",""
"SCD5","0.0800","0.285","0.237","2","hsa-miR-324-5p","hsa-miR-24-3p","","",""
"SERBP1","0.0811","0.285","0.344","3","hsa-miR-6750-3p","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"SGO2","0.0816","0.285","0.0846","1","hsa-miR-215-5p","","","",""
"SH2B1","0.0816","0.285","0.0846","1","hsa-miR-361-3p","","","",""
"SLC10A3","0.0800","0.285","0.237","2","hsa-miR-146a-5p","hsa-miR-146b-5p","","",""
"SLC33A1","0.0776","0.285","0.233","2","hsa-miR-503-5p","hsa-miR-24-3p","","",""
"SP8","0.0816","0.285","0.0846","1","hsa-miR-215-5p","","","",""
"SSSCA1","0.0816","0.285","0.0846","1","hsa-miR-24-3p","","","",""
"TBC1D5","0.0816","0.285","0.0846","1","hsa-miR-361-3p","","","",""
"TLR2","0.0816","0.285","0.0846","1","hsa-miR-146a-5p","","","",""
"TNF","0.0816","0.285","0.0846","1","hsa-miR-24-3p","","","",""
"TOMM22","0.0816","0.285","0.0846","1","hsa-miR-24-3p","","","",""
"TRIM21","0.0816","0.285","0.0846","1","hsa-miR-2110","","","",""
"TRIM41","0.0816","0.285","0.0846","1","hsa-miR-3184-5p","","","",""
"UBA5","0.0816","0.285","0.0846","1","hsa-miR-215-5p","","","",""
"UBE2C","0.0816","0.285","0.0846","1","hsa-miR-24-3p","","","",""
"USP16","0.0816","0.285","0.0846","1","hsa-miR-324-5p","","","",""
"WWC3","0.0816","0.285","0.0846","1","hsa-miR-215-5p","","","",""
"YBX3","0.0816","0.285","0.0846","1","hsa-miR-191-5p","","","",""
"ZNF449","0.0800","0.285","0.237","2","hsa-miR-215-5p","hsa-miR-503-5p","","",""
"ZNHIT6","0.0816","0.285","0.0846","1","hsa-miR-4677-3p","","","",""
"CEP55","0.0825","0.287","0.241","2","hsa-miR-215-5p","hsa-miR-6511a-3p","","",""
"CMTM4","0.0825","0.287","0.241","2","hsa-miR-24-3p","hsa-miR-503-5p","","",""
"DVL3","0.0825","0.287","0.241","2","hsa-miR-24-3p","hsa-miR-4677-3p","","",""
"POGZ","0.0825","0.287","0.241","2","hsa-miR-2110","hsa-miR-24-3p","","",""
"DIS3L","0.0850","0.293","0.245","2","hsa-miR-215-5p","hsa-miR-6741-3p","","",""
"FBXW7","0.0850","0.293","0.245","2","hsa-miR-503-5p","hsa-miR-24-3p","","",""
"FOS","0.0850","0.293","0.245","2","hsa-miR-215-5p","hsa-miR-146a-5p","","",""
"NUP93","0.0850","0.293","0.245","2","hsa-miR-6741-3p","hsa-miR-6750-3p","","",""
"SLC35E1","0.0850","0.293","0.245","2","hsa-miR-6511a-3p","hsa-miR-6741-3p","","",""
"TMPRSS5","0.0850","0.293","0.245","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"ZNF333","0.0850","0.293","0.245","2","hsa-miR-6741-3p","hsa-miR-361-3p","","",""
"ADD1","0.0901","0.294","0.254","2","hsa-miR-24-3p","hsa-miR-3074-5p","","",""
"AEN","0.0876","0.294","0.250","2","hsa-miR-2110","hsa-miR-24-3p","","",""
"AGPAT3","0.0894","0.294","0.0931","1","hsa-miR-24-3p","","","",""
"ARHGEF17","0.0894","0.294","0.0931","1","hsa-miR-361-3p","","","",""
"AURKB","0.0894","0.294","0.0931","1","hsa-miR-24-3p","","","",""
"BCL2L2","0.0876","0.294","0.250","2","hsa-miR-24-3p","hsa-miR-361-3p","","",""
"CACHD1","0.0894","0.294","0.0931","1","hsa-miR-324-5p","","","",""
"CCDC106","0.0894","0.294","0.0931","1","hsa-miR-3184-5p","","","",""
"CDC7","0.0894","0.294","0.0931","1","hsa-miR-215-5p","","","",""
"CKB","0.0894","0.294","0.0931","1","hsa-miR-324-5p","","","",""
"DNAJC19","0.0894","0.294","0.0931","1","hsa-miR-215-5p","","","",""
"DUSP22","0.0894","0.294","0.0931","1","hsa-miR-1180-3p","","","",""
"ETV5","0.0894","0.294","0.0931","1","hsa-miR-3173-5p","","","",""
"FANCA","0.0901","0.294","0.254","2","hsa-miR-503-5p","hsa-miR-1180-3p","","",""
"FBN1","0.0894","0.294","0.0931","1","hsa-miR-215-5p","","","",""
"FGD1","0.0894","0.294","0.0931","1","hsa-miR-3909","","","",""
"FGFR1","0.0901","0.294","0.254","2","hsa-miR-503-5p","hsa-miR-6741-3p","","",""
"GBA","0.0894","0.294","0.0931","1","hsa-miR-191-5p","","","",""
"HDHD2","0.0894","0.294","0.0931","1","hsa-miR-361-3p","","","",""
"HSD17B12","0.0875","0.294","0.356","3","hsa-miR-191-5p","hsa-miR-6741-3p","hsa-miR-24-3p","",""
"HSPA1A","0.0894","0.294","0.0931","1","hsa-miR-146a-5p","","","",""
"IL7","0.0894","0.294","0.0931","1","hsa-miR-215-5p","","","",""
"IP6K2","0.0894","0.294","0.0931","1","hsa-miR-361-3p","","","",""
"KCNK2","0.0894","0.294","0.0931","1","hsa-miR-24-3p","","","",""
"KIF23","0.0876","0.294","0.250","2","hsa-miR-215-5p","hsa-miR-503-5p","","",""
"MAP3K20","0.0894","0.294","0.0931","1","hsa-miR-3173-5p","","","",""
"MBD4","0.0901","0.294","0.254","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"MC2R","0.0876","0.294","0.250","2","hsa-miR-3909","hsa-miR-2110","","",""
"MED7","0.0876","0.294","0.250","2","hsa-miR-6741-3p","hsa-miR-6511a-3p","","",""
"MICAL2","0.0901","0.294","0.254","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"MMP14","0.0894","0.294","0.0931","1","hsa-miR-24-3p","","","",""
"NPAS3","0.0894","0.294","0.0931","1","hsa-miR-361-3p","","","",""
"P2RY11","0.0894","0.294","0.0931","1","hsa-miR-3909","","","",""
"PNMA8A","0.0894","0.294","0.0931","1","hsa-miR-6741-3p","","","",""
"POM121C","0.0901","0.294","0.254","2","hsa-miR-2110","hsa-miR-451b","","",""
"PPARG","0.0894","0.294","0.0931","1","hsa-miR-215-5p","","","",""
"R3HDM4","0.0901","0.294","0.254","2","hsa-miR-24-3p","hsa-miR-361-3p","","",""
"SAP30","0.0894","0.294","0.0931","1","hsa-miR-215-5p","","","",""
"SF3B2","0.0894","0.294","0.0931","1","hsa-miR-324-5p","","","",""
"SLC13A4","0.0894","0.294","0.0931","1","hsa-miR-3074-5p","","","",""
"SMARCA2","0.0894","0.294","0.0931","1","hsa-miR-215-5p","","","",""
"SMARCD2","0.0894","0.294","0.0931","1","hsa-miR-324-5p","","","",""
"SPRED2","0.0894","0.294","0.0931","1","hsa-miR-215-5p","","","",""
"SRD5A1","0.0901","0.294","0.254","2","hsa-miR-215-5p","hsa-miR-26b-3p","","",""
"SRP54","0.0894","0.294","0.0931","1","hsa-miR-451b","","","",""
"STXBP4","0.0894","0.294","0.0931","1","hsa-miR-324-5p","","","",""
"TAF15","0.0894","0.294","0.0931","1","hsa-miR-24-3p","","","",""
"TNKS","0.0894","0.294","0.0931","1","hsa-miR-324-5p","","","",""
"USP10","0.0894","0.294","0.0931","1","hsa-miR-24-3p","","","",""
"USP2","0.0894","0.294","0.0931","1","hsa-miR-2110","","","",""
"WIZ","0.0876","0.294","0.250","2","hsa-miR-324-5p","hsa-miR-24-3p","","",""
"ZDHHC23","0.0894","0.294","0.0931","1","hsa-miR-215-5p","","","",""
"ZNF207","0.0859","0.294","0.353","3","hsa-miR-6741-3p","hsa-miR-4677-3p","hsa-miR-6511a-3p","",""
"MSH6","0.0927","0.302","0.258","2","hsa-miR-215-5p","hsa-miR-324-5p","","",""
"POLA2","0.0927","0.302","0.258","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"RPL37","0.0927","0.302","0.258","2","hsa-miR-324-5p","hsa-miR-191-5p","","",""
"ARL2BP","0.0972","0.305","0.102","1","hsa-miR-215-5p","","","",""
"CACNG2","0.0972","0.305","0.102","1","hsa-miR-26b-3p","","","",""
"CDC20","0.0972","0.305","0.102","1","hsa-miR-215-5p","","","",""
"CENPF","0.0972","0.305","0.102","1","hsa-miR-215-5p","","","",""
"CEP128","0.0972","0.305","0.102","1","hsa-miR-215-5p","","","",""
"CFL1","0.0953","0.305","0.262","2","hsa-miR-324-5p","hsa-miR-2110","","",""
"CLSTN1","0.0953","0.305","0.262","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"COL14A1","0.0972","0.305","0.102","1","hsa-miR-324-5p","","","",""
"DBR1","0.0972","0.305","0.102","1","hsa-miR-24-3p","","","",""
"DLGAP4","0.0972","0.305","0.102","1","hsa-miR-3909","","","",""
"GABRA4","0.0972","0.305","0.102","1","hsa-miR-6511a-3p","","","",""
"GJD3","0.0958","0.305","0.370","3","hsa-miR-26b-3p","hsa-miR-6741-3p","hsa-miR-24-3p","",""
"GPR35","0.0972","0.305","0.102","1","hsa-miR-451b","","","",""
"IQGAP1","0.0972","0.305","0.102","1","hsa-miR-215-5p","","","",""
"NAGK","0.0953","0.305","0.262","2","hsa-miR-2110","hsa-miR-6741-3p","","",""
"ND5","0.0972","0.305","0.102","1","hsa-miR-1180-3p","","","",""
"NIPA1","0.0953","0.305","0.262","2","hsa-miR-215-5p","hsa-miR-24-3p","","",""
"NTPCR","0.0972","0.305","0.102","1","hsa-miR-24-3p","","","",""
"PCDH11X","0.0972","0.305","0.102","1","hsa-miR-324-5p","","","",""
"PDLIM5","0.0953","0.305","0.262","2","hsa-miR-24-3p","hsa-miR-3074-5p","","",""
"PLS3","0.0972","0.305","0.102","1","hsa-miR-215-5p","","","",""
"REEP1","0.0972","0.305","0.102","1","hsa-miR-215-5p","","","",""
"REG4","0.0972","0.305","0.102","1","hsa-miR-24-3p","","","",""
"REPS2","0.0972","0.305","0.102","1","hsa-miR-24-3p","","","",""
"SKA1","0.0972","0.305","0.102","1","hsa-miR-215-5p","","","",""
"SLC16A7","0.0972","0.305","0.102","1","hsa-miR-215-5p","","","",""
"SNX3","0.0972","0.305","0.102","1","hsa-miR-451b","","","",""
"TNFRSF1B","0.0972","0.305","0.102","1","hsa-miR-3909","","","",""
"TNK2","0.0972","0.305","0.102","1","hsa-miR-24-3p","","","",""
"TP53","0.0941","0.305","0.367","3","hsa-miR-324-5p","hsa-miR-2110","hsa-miR-24-3p","",""
"TRIM68","0.0972","0.305","0.102","1","hsa-miR-215-5p","","","",""
"TWNK","0.0972","0.305","0.102","1","hsa-miR-6741-3p","","","",""
"UGT2B4","0.0953","0.305","0.262","2","hsa-miR-503-5p","hsa-miR-2110","","",""
"YRDC","0.0953","0.305","0.262","2","hsa-miR-24-3p","hsa-miR-503-5p","","",""
"ZNF248","0.0972","0.305","0.102","1","hsa-miR-215-5p","","","",""
"ZNF776","0.0972","0.305","0.102","1","hsa-miR-215-5p","","","",""
"C16orf52","0.0980","0.306","0.267","2","hsa-miR-146a-5p","hsa-miR-146b-5p","","",""
"CREBL2","0.0980","0.306","0.267","2","hsa-miR-215-5p","hsa-miR-503-5p","","",""
