"Gene Symbol","p-value","FDR","Odd ratio","Number of interactions","microRNA 1","microRNA 2","microRNA 3","microRNA 4","microRNA 5"
"TMEM8B","0.0169","0.198","0.0169","1","hsa-miR-324-5p","","","",""
"TRIM11","0.0169","0.198","0.0169","1","hsa-miR-24-3p","","","",""
"TRIM23","0.0119","0.198","0.0846","2","hsa-miR-215-5p","hsa-miR-324-5p","","",""
"TTLL7","0.0119","0.198","0.0846","2","hsa-miR-24-3p","hsa-miR-4677-3p","","",""
"TTPA","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"TUT1","0.0119","0.198","0.0846","2","hsa-miR-503-5p","hsa-miR-324-5p","","",""
"TYMSOS","0.00846","0.198","0.00846","1","hsa-miR-24-3p","","","",""
"UBE2I","0.00964","0.198","0.0762","2","hsa-miR-324-5p","hsa-miR-361-3p","","",""
"UPP1","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"UQCC1","0.0169","0.198","0.0169","1","hsa-miR-24-3p","","","",""
"USP48","0.00798","0.198","0.141","3","hsa-miR-146b-5p","hsa-miR-146a-5p","hsa-miR-503-5p","",""
"USPL1","0.0169","0.198","0.0169","1","hsa-miR-324-5p","","","",""
"UTP15","0.00594","0.198","0.127","3","hsa-miR-1180-3p","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"VPS25","0.00846","0.198","0.00846","1","hsa-miR-24-3p","","","",""
"WDR47","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"WRAP73","0.0169","0.198","0.0169","1","hsa-miR-361-3p","","","",""
"ZMYND19","0.0169","0.198","0.0169","1","hsa-miR-24-3p","","","",""
"ZNF114","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"ZNF165","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"ZNF184","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"ZNF230","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"ZNF281","0.00476","0.198","0.178","4","hsa-miR-451b","hsa-miR-3909","hsa-miR-24-3p","hsa-miR-2110",""
"ZNF385B","0.0169","0.198","0.0169","1","hsa-miR-215-5p","","","",""
"ZNF484","0.0169","0.198","0.0169","1","hsa-miR-451b","","","",""
"ZNF629","0.00862","0.198","0.0720","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"ZNRF3","0.0132","0.198","0.169","3","hsa-miR-146b-5p","hsa-miR-215-5p","hsa-miR-503-5p","",""
"AK3","0.0182","0.205","0.106","2","hsa-miR-24-3p","hsa-miR-324-5p","","",""
"BCOR","0.0182","0.205","0.106","2","hsa-miR-215-5p","hsa-miR-191-5p","","",""
"BRWD1","0.0178","0.205","0.189","3","hsa-miR-215-5p","hsa-miR-146a-5p","hsa-miR-146b-5p","",""
"ELOA","0.0182","0.205","0.106","2","hsa-miR-215-5p","hsa-miR-4677-3p","","",""
"LBR","0.0178","0.205","0.189","3","hsa-miR-24-3p","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"LRRFIP1","0.0182","0.205","0.106","2","hsa-miR-215-5p","hsa-miR-3074-5p","","",""
"RPS2","0.0182","0.205","0.106","2","hsa-miR-361-3p","hsa-miR-324-5p","","",""
"SERPINA4","0.0182","0.205","0.106","2","hsa-miR-146b-5p","hsa-miR-146a-5p","","",""
"SLC25A51","0.0182","0.205","0.106","2","hsa-miR-215-5p","hsa-miR-6741-3p","","",""
"TACC3","0.0182","0.205","0.106","2","hsa-miR-324-5p","hsa-miR-24-3p","","",""
"WDFY2","0.0182","0.205","0.106","2","hsa-miR-3909","hsa-miR-24-3p","","",""
"ZMYND11","0.0182","0.205","0.106","2","hsa-miR-215-5p","hsa-miR-324-5p","","",""
"ASCC1","0.0242","0.206","0.123","2","hsa-miR-503-5p","hsa-miR-451b","","",""
"ASRGL1","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"AUNIP","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"BBS7","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"BCL2A1","0.0252","0.206","0.0254","1","hsa-miR-146a-5p","","","",""
"BEX1","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"BLM","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"BRD8","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"C16orf62","0.0252","0.206","0.0254","1","hsa-miR-1180-3p","","","",""
"CASR","0.0252","0.206","0.0254","1","hsa-miR-146b-5p","","","",""
"CCND3","0.0242","0.206","0.123","2","hsa-miR-324-5p","hsa-miR-503-5p","","",""
"CCR9","0.0252","0.206","0.0254","1","hsa-miR-146a-5p","","","",""
"CDC73","0.0223","0.206","0.206","3","hsa-miR-24-3p","hsa-miR-146b-5p","hsa-miR-146a-5p","",""
"CDS1","0.0252","0.206","0.0254","1","hsa-miR-324-5p","","","",""
"CENPB","0.0252","0.206","0.0254","1","hsa-miR-324-5p","","","",""
"CENPU","0.0252","0.206","0.0254","1","hsa-miR-146b-5p","","","",""
"CHM","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"CKLF","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"CLK1","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"COPS5","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"COQ3","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"CRTC1","0.0197","0.206","0.110","2","hsa-miR-451b","hsa-miR-324-5p","","",""
"CXorf57","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
"DUS1L","0.0252","0.206","0.0254","1","hsa-miR-24-3p","","","",""
"E2F3","0.0239","0.206","0.284","4","hsa-miR-24-3p","hsa-miR-2110","hsa-miR-3184-5p","hsa-miR-503-5p",""
"EAF2","0.0252","0.206","0.0254","1","hsa-miR-215-5p","","","",""
